ANG,TRQ,ANG_pred,TRQ pred,MAE,Anomaly
26.0,2440.0,27.822905,2429.9272,0.008453920483589172,False
-74.0,2468.0,-73.48034,2463.9695,0.0029628872871398926,False
61.0,2441.0,62.2799,2429.7415,0.00793255865573883,False
-93.99999,2743.0,-94.29465,2734.9688,0.0044206976890563965,False
50.0,2442.0,51.522224,2431.2544,0.008172959089279175,False
-0.9999994,2441.0,0.5630579,2431.5645,0.007629901170730591,False
2.9999983,2440.0,4.633728,2430.5205,0.007792338728904724,False
-58.999996,2441.0,-57.524677,2432.9114,0.006811738014221191,False
79.0,2390.0,80.22598,2377.709,0.008316963911056519,False
60.0,2375.9998,61.49587,2364.6433,0.008411608636379242,False
63.0,2409.0,64.31059,2396.4692,0.008600786328315735,False
95.0,2483.0,96.31546,2477.907,0.005062952637672424,False
-65.00001,2435.0,-63.71958,2427.772,0.0060111284255981445,False
-5.9999967,2442.0,-4.507024,2432.562,0.007490783929824829,False
13.0,2442.0,14.773191,2432.3042,0.008174777030944824,False
41.0,2442.0,42.682644,2431.5906,0.008333846926689148,False
-90.99999,2621.0,-90.842285,2618.6812,0.0014217197895050049,False
-14.999999,2440.0,-13.523781,2430.3948,0.007537022233009338,False
41.0,2441.0,42.684185,2430.541,0.008360534906387329,False
42.0,3663.0,40.43506,3613.8674,0.026568524539470673,True
14.999999,2441.0,16.796473,2431.24,0.00825190544128418,False
-45.000004,2441.0,-43.16441,2431.1985,0.008349984884262085,False
-27.0,2440.0,-25.344028,2429.9717,0.008098617196083069,False
-83.0,2584.0,-82.76719,2582.8142,0.0010315477848052979,False
82.0,2407.0,83.16465,2394.9902,0.00806012749671936,False
96.0,2435.0,97.41796,2427.4036,0.006462126970291138,False
-65.00001,2464.0,-64.070076,2458.231,0.004613399505615234,False
-121.00001,2986.0,-120.92209,2975.3257,0.00524747371673584,False
-96.0,2795.0,-96.16243,2785.5881,0.00481453537940979,False
-75.0,2618.0,-74.85165,2614.6245,0.0019071102142333984,False
9.000002,2442.0,10.723675,2432.4001,0.008029863238334656,False
-96.0,2733.0,-96.31936,2726.0515,0.003953725099563599,False
49.0,2441.0,50.544205,2430.24,0.008223816752433777,False
69.0,2389.0,70.2944,2376.4353,0.008584648370742798,False
-120.00001,3906.0,-118.976585,3884.372,0.012365102767944336,True
67.0,2408.0,68.243195,2395.3093,0.008542090654373169,False
45.0,2441.0,46.619858,2430.399,0.008299462497234344,False
25.0,2439.0,26.829805,2428.9292,0.008466929197311401,False
-16.999998,2441.0,-15.511319,2431.3281,0.007593616843223572,False
-22.000002,2440.0,-20.438902,2430.1458,0.007825568318367004,False
31.0,2439.0,32.798233,2428.7603,0.008484341204166412,False
-78.0,2543.0,-77.7652,2542.281,0.0008130371570587158,False
9.000002,2441.0,10.728096,2431.3938,0.008041545748710632,False
-69.00001,3663.0,-81.23645,3681.2498,0.033202290534973145,True
-21.000002,2442.0,-19.465229,2432.193,0.007750391960144043,False
-32.999996,3661.5,-57.73441,3708.254,0.07181915640830994,True
-34.999996,2440.0,-33.19755,2429.8357,0.008456766605377197,False
-0.9999994,2440.0,0.56567043,2430.5698,0.007632508873939514,False
-69.00001,2486.0,-68.435814,2482.3052,0.002891838550567627,False
-90.99999,2820.0,-90.68675,2806.94,0.006856650114059448,False
-23.000002,2441.0,-21.426725,2431.1147,0.007864758372306824,False
-71.0,2494.0,-70.552505,2491.0554,0.002300351858139038,False
-21.000002,2442.0,-19.465229,2432.193,0.007750391960144043,False
-28.999998,2442.0,-27.318745,2431.9453,0.008161842823028564,False
59.0,2440.0,60.325924,2428.7563,0.008017517626285553,False
-105.0,2796.0,-105.13326,2789.2375,0.0034923255443573,False
-56.999996,2442.0,-55.45802,2433.6267,0.007081091403961182,False
-163.5,4327.5,-165.04143,4336.4336,0.00734710693359375,False
87.0,2450.0,88.14621,2440.7485,0.006707534193992615,False
-1.9999988,2441.0,-0.45251253,2431.5698,0.007596015930175781,False
-34.999996,2441.0,-33.206623,2430.8572,0.008428290486335754,False
-93.99999,2684.0,-94.190506,2678.9617,0.002784639596939087,False
68.0,2412.0,69.21413,2399.3445,0.008467152714729309,False
-91.99999,2736.0,-92.26137,2727.6235,0.004518687725067139,False
45.0,2442.0,46.618423,2431.452,0.008271373808383942,False
2.9999983,2441.0,4.630505,2431.5173,0.0077873170375823975,False
-26.0,2442.0,-24.376936,2432.0256,0.008007079362869263,False
53.0,2422.0,54.48809,2410.2603,0.008578896522521973,False
-86.99999,2647.0,-87.00237,2642.856,0.001981496810913086,False
-2.9999983,2441.0,-1.4672345,2431.573,0.007565051317214966,False
-32.999996,2442.0,-31.246305,2431.8848,0.008335769176483154,False
-80.0,2641.0,-79.92853,2636.2847,0.0023921430110931396,False
